Date,Close/Last,Volume,Open,High,Low
10/13/2023,$355.68,6316320,$355.64,$358.93,$352.05
10/12/2023,$361.20,7376086,$366.48,$368.83,$359.05
10/11/2023,$365.93,9151395,$372.775,$377.81,$365.34
10/10/2023,$373.32,7288939,$385.58,$388.70,$372.25
10/09/2023,$385.95,3299802,$378.05,$387.17,$377.755
10/06/2023,$381.51,4778118,$368.43,$382.52,$367.77
10/05/2023,$372.59,5034773,$378.01,$378.5999,$367.24
10/04/2023,$376.90,4303658,$376.50,$380.22,$373.58
10/03/2023,$376.75,8878134,$377.11,$394.90,$372.8492
10/02/2023,$380.33,3102101,$377.48,$384.808,$376.80
09/29/2023,$377.60,4205298,$380.00,$382.58,$375.35
09/28/2023,$376.36,4369906,$375.60,$378.96,$371.10
09/27/2023,$377.59,3843521,$382.40,$384.223,$376.25
09/26/2023,$379.25,4089392,$382.88,$384.56,$377.355
09/25/2023,$384.80,3757278,$382.90,$386.62,$380.81
09/22/2023,$379.81,3699796,$385.00,$386.88,$378.36
09/21/2023,$384.15,5556388,$386.50,$395.8999,$383.42
09/20/2023,$386.30,3866619,$397.05,$397.985,$386.12
09/19/2023,$396.20,4080054,$392.84,$398.23,$390.245
09/18/2023,$394.40,4704706,$395.50,$399.465,$392.60
09/15/2023,$396.94,9116745,$401.00,$404.6997,$395.03
09/14/2023,$400.49,10709040,$410.40,$411.39,$400.00
09/13/2023,$412.24,11843030,$435.50,$438.40,$410.69
09/12/2023,$434.69,3124024,$442.85,$445.4399,$434.12
09/11/2023,$445.36,2913767,$443.07,$449.89,$442.75
09/08/2023,$442.80,2704353,$443.56,$446.81,$438.85
09/07/2023,$443.14,2922676,$441.15,$444.60,$436.70
09/06/2023,$445.76,3862274,$448.61,$451.39,$440.49
09/05/2023,$448.68,6155865,$438.39,$453.45,$438.00
09/01/2023,$439.88,4793379,$437.725,$445.50,$435.93
08/31/2023,$433.68,3802954,$431.23,$437.15,$431.23
08/30/2023,$434.67,3625380,$430.85,$438.16,$428.35
08/29/2023,$429.99,4486703,$416.00,$432.17,$414.50
08/28/2023,$418.06,2928613,$418.04,$419.83,$413.27
08/25/2023,$416.03,5390933,$412.00,$419.25,$407.5641
08/24/2023,$406.93,5687799,$425.41,$427.59,$406.165
08/23/2023,$427.55,8174732,$418.40,$437.02,$417.71
08/22/2023,$413.17,3603273,$409.00,$415.74,$407.40
08/21/2023,$408.29,3861579,$402.23,$409.61,$399.50
08/18/2023,$404.53,4312196,$399.33,$406.52,$398.15
08/17/2023,$403.00,6031469,$415.00,$415.24,$401.5818
08/16/2023,$415.45,3967021,$423.73,$424.51,$415.25
08/15/2023,$423.70,3367998,$424.41,$429.12,$421.04
08/14/2023,$427.78,3965963,$421.99,$428.845,$418.78
08/11/2023,$421.66,3927914,$428.98,$430.6317,$421.3277
08/10/2023,$429.98,5467607,$431.12,$438.12,$428.69
08/09/2023,$428.90,3846639,$439.74,$440.62,$427.59
08/08/2023,$438.30,3767195,$440.36,$443.57,$435.10
08/07/2023,$440.76,4781303,$436.455,$441.11,$428.9057
08/04/2023,$431.60,5441811,$433.06,$436.50,$426.27
08/03/2023,$431.00,6259309,$427.80,$441.93,$427.19
08/02/2023,$429.70,4921781,$435.23,$435.56,$426.56
08/01/2023,$438.62,5725544,$437.37,$445.2499,$431.40
07/31/2023,$438.97,6587619,$426.51,$439.13,$426.30
07/28/2023,$425.78,6428073,$415.56,$427.47,$413.76
07/27/2023,$413.17,6594466,$426.90,$427.52,$411.88
07/26/2023,$422.67,6009242,$424.20,$425.26,$415.59
07/25/2023,$427.70,4859843,$427.18,$430.8799,$426.13
07/24/2023,$428.37,8282434,$425.00,$428.64,$419.19
07/21/2023,$427.50,17340030,$437.37,$438.24,$423.19
07/20/2023,$437.42,23989710,$447.00,$448.50,$432.00
07/19/2023,$477.59,20996480,$476.86,$485.00,$470.00
07/18/2023,$474.80,13196880,$451.00,$478.15,$448.78
07/17/2023,$450.05,6901141,$445.57,$456.68,$445.1053
07/14/2023,$441.91,7195860,$452.785,$456.48,$439.70
07/13/2023,$450.38,6157475,$447.00,$451.67,$441.177
07/12/2023,$444.05,5731657,$444.55,$445.4085,$437.7494
07/11/2023,$440.21,4574559,$438.65,$440.80,$431.0415
07/10/2023,$441.71,4251737,$438.52,$444.41,$436.82
07/07/2023,$438.10,4165144,$438.60,$442.325,$435.8354
07/06/2023,$438.84,4944892,$440.00,$442.7999,$430.72
07/05/2023,$445.90,6875414,$444.91,$450.97,$439.6244
07/03/2023,$441.44,3728461,$439.76,$441.545,$431.62
06/30/2023,$440.49,7346394,$431.10,$444.12,$431.10
06/29/2023,$428.24,4932310,$434.33,$437.85,$426.15
06/28/2023,$429.84,8811342,$423.10,$437.2915,$422.89
06/27/2023,$417.08,4818066,$417.39,$420.8789,$411.50
06/26/2023,$415.94,4640022,$422.435,$430.9599,$414.90
06/23/2023,$424.02,8298600,$418.59,$425.82,$417.73
06/22/2023,$422.48,4872246,$422.93,$424.71,$418.6801
06/21/2023,$424.45,5146441,$432.65,$434.55,$422.54
06/20/2023,$434.70,4762313,$430.18,$440.00,$430.00
06/16/2023,$431.96,8753740,$446.15,$447.51,$430.90
06/15/2023,$445.27,7099915,$444.10,$448.65,$439.50
06/14/2023,$440.86,8413089,$434.99,$447.33,$433.50
06/13/2023,$435.73,7820535,$430.01,$437.27,$428.40
06/12/2023,$423.97,5967712,$418.83,$424.70,$416.5669
06/09/2023,$420.02,12372830,$424.50,$425.90,$414.76
06/08/2023,$409.37,5991087,$399.77,$409.54,$396.34
06/07/2023,$399.77,11932390,$410.43,$418.95,$399.23
06/06/2023,$399.29,4991532,$405.00,$405.12,$396.93
06/05/2023,$403.54,7247413,$400.47,$413.86,$400.15
06/02/2023,$400.47,5902381,$402.89,$406.58,$395.90
06/01/2023,$403.13,7160145,$397.41,$407.52,$393.08
05/31/2023,$395.23,6988047,$391.89,$396.26,$388.91
05/30/2023,$392.98,10864990,$397.48,$405.11,$385.79
05/26/2023,$378.88,9360436,$361.10,$383.76,$356.00
05/25/2023,$359.00,6263105,$359.61,$367.4499,$357.42
05/24/2023,$364.85,7973316,$356.93,$367.151,$356.625
05/23/2023,$355.99,6866078,$360.24,$364.17,$354.31
05/22/2023,$363.01,5406420,$365.36,$372.01,$362.50
05/19/2023,$365.36,7859703,$369.86,$369.99,$363.81
05/18/2023,$371.29,20925240,$347.25,$375.87,$346.37
05/17/2023,$339.96,3958807,$331.76,$341.38,$329.615
05/16/2023,$333.75,3334863,$334.00,$335.17,$331.91
05/15/2023,$335.89,3652970,$340.62,$341.90,$335.54
05/12/2023,$339.89,6082360,$344.76,$348.1664,$337.3637
05/11/2023,$344.76,8033531,$334.98,$345.47,$331.84
05/10/2023,$335.42,4289897,$335.21,$337.11,$329.51
05/09/2023,$332.14,5544852,$330.67,$336.32,$329.7401
05/08/2023,$331.21,5488593,$322.99,$332.56,$322.03
05/05/2023,$322.76,3990637,$323.61,$324.15,$319.4401
